time,open,high,low,close,Heikin-Ashi (Open),Heikin-Ashi (High,Heikin-Ashi (Low),Heikin-Ashi (Close),Histogram,MACD,Signal
1704897000,26.66,27.89,25.16,27.34,28.64772606006263,28.64772606006263,25.16,26.7625,-1.142753980745066,1.5451896173338788,2.687943598078945
1704983400,29.38,30.04,24.3,24.56,27.705113030031313,30.04,24.3,27.07,-1.3134232012446656,1.0461645965231128,2.3595877977677784
1705069800,23.57,24.4401,21.75,21.8,27.387556515015657,27.387556515015657,21.75,22.890024999999998,-1.5491922113867376,0.42309753353435653,1.972289744921094
1705415400,21.38,23.2,20.851,22.63,25.138790757507827,25.138790757507827,20.851,22.015249999999998,-1.5807687718582133,-0.003671219901672629,1.5770975519565407
1705501800,21.61,22.65,21.4611,22.55,23.577020378753915,23.577020378753915,21.4611,22.067774999999997,-1.5371773475499335,-0.3443741324808762,1.1928032150690573
1705588200,22.41,23.44,20.11,20.18,22.822397689376956,23.44,20.11,21.535000000000004,-1.591396133149594,-0.7964419513679353,0.7949541817816588
1705674600,20.02,20.4,18.62,20.24,22.17869884468848,22.17869884468848,18.62,19.82,-1.5453741883167567,-1.136763553614287,0.4086106347024696
1705933800,20.08,22.5,19.62,21.31,20.99934942234424,22.5,19.62,20.8775,-1.3709577812022133,-1.305086591800297,0.06587118940191627
1706020200,19.41,20.64,18.8113,19.99,20.938424711172118,20.938424711172118,18.8113,19.712825,-1.2746089352385854,-1.5273899796463155,-0.25278104440773014
1706106600,21.01,21.08,18.98,19.12,20.325624855586057,21.08,18.98,20.047500000000003,-1.2006190495904572,-1.7535548563958017,-0.5529358068053445
1706193000,19.33,19.98,18.3,18.97,20.186562427793028,20.186562427793028,18.3,19.145,-1.0958368275482055,-1.9227318412406014,-0.8268950136923958
1706279400,21.03,21.1,19.11,20.29,19.665781213896516,21.1,19.11,20.3825,-0.8809378232177276,-1.9280672927145552,-1.0471294694968276
1706538600,20.75,23.94,20.48,22.73,20.024140606948258,23.94,20.024140606948258,21.975,-0.5348014950060413,-1.7156313382543793,-1.180829843248338
1706625000,23.86,23.86,21.88,22.02,20.99957030347413,23.86,20.99957030347413,22.904999999999998,-0.3243599132024073,-1.586279734751347,-1.2619198215489398
1706711400,21.39,23.5,20.93,21.15,21.952285151737065,23.5,20.93,21.7425,-0.2194724094169913,-1.536260333320179,-1.3167879239031877
